order_id,arrival_period,due_period,service_class,priority_weight,flow_time_weight,item_count,zones_touched,total_volume,pick_minutes,pack_minutes,item_volumes_dm3,slack_periods,minimum_completion_period,service_window_width,latest_release_period,feasible_release_count
O028,0,3,standard,3.0,1.6,2,2,4.85,7.11,3.13,"1.59,3.26",3,1,2,4,5
O052,0,3,standard,3.0,1.6,1,1,2.25,4.71,2.16,2.25,3,1,2,4,5
O018,0,4,standard,3.0,1.6,2,1,2.97,5.78,2.77,"1.44,1.53",4,1,3,5,6
O069,0,4,standard,3.0,1.6,1,1,2.36,4.9,2.2,2.36,4,1,3,5,6
O075,0,6,economy,1.0,1.0,1,1,1.09,4.77,1.92,1.09,6,1,5,7,8
O085,0,6,economy,1.0,1.0,1,1,2.18,4.83,2.19,2.18,6,1,5,7,8
O059,1,4,priority,7.0,2.4,2,2,3.48,7.27,2.93,"0.96,2.52",3,2,2,5,5
O029,1,4,standard,3.0,1.6,2,2,5.45,7.23,3.2,"1.95,3.50",3,2,2,5,5
O060,1,4,standard,3.0,1.6,2,1,4.16,5.97,2.77,"2.09,2.06",3,2,2,5,5
O086,1,4,standard,3.0,1.6,6,4,12.84,14.6,6.29,"1.64,2.71,2.79,2.75,1.76,1.18",3,2,2,5,5
O050,1,5,priority,7.0,2.4,1,1,3.58,5.07,2.14,3.58,4,2,3,6,6
O099,1,5,priority,7.0,2.4,2,1,2.59,5.72,2.61,"0.91,1.69",4,2,3,6,6
O084,1,5,economy,1.0,1.0,2,2,2.65,6.84,2.96,"1.58,1.06",4,2,3,6,6
O037,1,6,standard,3.0,1.6,1,1,2.6,4.69,2.01,2.60,5,2,4,7,7
O091,1,6,standard,3.0,1.6,2,1,3.4,6.0,2.8,"1.76,1.64",5,2,4,7,7
O109,1,6,standard,3.0,1.6,1,1,2.92,5.0,2.11,2.92,5,2,4,7,7
O005,1,6,economy,1.0,1.0,3,2,3.53,8.32,3.56,"0.89,1.16,1.48",5,2,4,7,7
O089,1,6,economy,1.0,1.0,1,1,1.93,4.59,2.21,1.93,5,2,4,7,7
O098,1,6,economy,1.0,1.0,1,1,0.72,4.77,1.95,0.72,5,2,4,7,7
O009,1,7,economy,1.0,1.0,1,1,2.04,4.92,2.05,2.04,6,2,5,8,8
O074,2,4,priority,7.0,2.4,1,1,0.63,4.47,2.03,0.63,2,3,1,5,4
O115,2,4,priority,7.0,2.4,1,1,2.02,4.94,2.18,2.02,2,3,1,5,4
O036,2,5,standard,3.0,1.6,2,1,2.84,5.89,2.61,"1.16,1.68",3,3,2,6,5
O103,2,5,standard,3.0,1.6,3,3,4.73,9.32,3.81,"2.65,1.05,1.02",3,3,2,6,5
O071,2,6,priority,7.0,2.4,3,2,4.53,8.1,3.48,"2.45,1.04,1.05",4,3,3,7,6
