order_id,arrival_period,due_period,service_class,priority_weight,flow_time_weight,item_count,zones_touched,total_volume,pick_minutes,pack_minutes,item_volumes_dm3,slack_periods,minimum_completion_period,service_window_width,latest_release_period,feasible_release_count
O021,0,2,priority,7.0,2.4,1,1,1.59,4.86,2.07,1.59,2,1,1,3,4
O044,0,3,priority,7.0,2.4,1,1,2.12,4.92,2.04,2.12,3,1,2,4,5
O086,0,3,priority,7.0,2.4,2,1,3.29,5.98,2.61,"2.49,0.80",3,1,2,4,5
O095,0,3,priority,7.0,2.4,4,4,8.75,12.29,4.84,"2.20,1.73,2.04,2.78",3,1,2,4,5
O046,0,3,standard,3.0,1.6,1,1,1.29,4.59,1.93,1.29,3,1,2,4,5
O062,0,3,standard,3.0,1.6,3,1,6.22,7.36,3.53,"0.98,3.69,1.55",3,1,2,4,5
O102,0,3,standard,3.0,1.6,2,2,3.8,7.09,3.02,"2.11,1.69",3,1,2,4,5
O117,0,3,standard,3.0,1.6,2,1,5.77,6.06,2.78,"4.11,1.66",3,1,2,4,5
O002,0,4,standard,3.0,1.6,6,4,9.27,14.19,5.95,"2.26,1.44,0.92,1.18,1.61,1.85",4,1,3,5,6
O048,0,4,standard,3.0,1.6,1,1,1.29,4.53,2.16,1.29,4,1,3,5,6
O081,0,4,standard,3.0,1.6,2,2,5.21,7.51,2.99,"2.87,2.34",4,1,3,5,6
O111,0,4,standard,3.0,1.6,3,3,8.15,9.95,3.97,"2.34,2.73,3.08",4,1,3,5,6
O029,0,5,economy,1.0,1.0,1,1,1.96,4.86,2.06,1.96,5,1,4,6,7
O035,0,6,economy,1.0,1.0,2,2,3.01,7.03,2.84,"0.84,2.17",6,1,5,7,8
O005,1,3,priority,7.0,2.4,3,2,6.21,8.54,3.63,"2.36,1.02,2.84",2,2,1,4,4
O017,1,3,priority,7.0,2.4,1,1,1.29,4.6,1.95,1.29,2,2,1,4,4
O036,1,3,priority,7.0,2.4,1,1,1.12,4.8,1.98,1.12,2,2,1,4,4
O087,1,4,priority,7.0,2.4,2,1,3.44,6.01,2.7,"1.98,1.46",3,2,2,5,5
O071,1,4,standard,3.0,1.6,3,2,6.37,8.37,3.6,"1.90,1.95,2.52",3,2,2,5,5
O019,1,5,standard,3.0,1.6,4,3,8.19,10.72,4.59,"1.45,2.78,1.46,2.50",4,2,3,6,6
O031,1,5,economy,1.0,1.0,1,1,0.71,4.6,2.11,0.71,4,2,3,6,6
O020,1,6,standard,3.0,1.6,2,2,4.53,7.29,3.1,"2.62,1.91",5,2,4,7,7
O041,1,6,standard,3.0,1.6,3,2,7.41,8.69,3.78,"4.05,1.81,1.54",5,2,4,7,7
O013,1,7,economy,1.0,1.0,1,1,1.77,4.53,2.18,1.77,6,2,5,8,8
O030,2,4,priority,7.0,2.4,1,1,1.45,4.59,2.0,1.45,2,3,1,5,4
O040,2,5,priority,7.0,2.4,1,1,1.0,4.64,1.96,1.00,3,3,2,6,5
O103,2,5,priority,7.0,2.4,1,1,1.71,4.86,2.13,1.71,3,3,2,6,5
O008,2,5,standard,3.0,1.6,1,1,1.36,4.7,2.05,1.36,3,3,2,6,5
O049,2,6,priority,7.0,2.4,4,1,6.15,8.11,4.06,"0.63,0.97,3.23,1.33",4,3,3,7,6
O060,2,6,priority,7.0,2.4,2,1,5.74,6.28,2.75,"2.52,3.22",4,3,3,7,6
O001,2,6,standard,3.0,1.6,3,2,8.62,8.93,3.92,"2.16,2.35,4.12",4,3,3,7,6
O032,2,6,standard,3.0,1.6,1,1,1.01,4.52,1.91,1.01,4,3,3,7,6
O097,2,6,standard,3.0,1.6,2,2,5.09,7.3,3.18,"1.56,3.52",4,3,3,7,6
O107,2,6,standard,3.0,1.6,3,2,3.99,8.25,3.65,"1.36,1.76,0.86",4,3,3,7,6
O115,2,6,standard,3.0,1.6,1,1,2.25,4.96,2.16,2.25,4,3,3,7,6
O016,2,6,economy,1.0,1.0,1,1,3.11,5.02,2.07,3.11,4,3,3,7,6
O009,2,7,standard,3.0,1.6,1,1,1.59,4.66,2.15,1.59,5,3,4,8,7
O078,2,7,standard,3.0,1.6,1,1,1.11,4.59,1.95,1.11,5,3,4,8,7
O080,2,7,standard,3.0,1.6,2,2,5.42,7.41,3.03,"4.14,1.28",5,3,4,8,7
O116,2,7,standard,3.0,1.6,3,3,4.86,9.66,3.87,"1.40,1.47,1.99",5,3,4,8,7
O007,2,8,economy,1.0,1.0,2,2,2.73,7.08,3.0,"0.62,2.11",6,3,5,9,8
O073,2,8,economy,1.0,1.0,1,1,0.63,4.53,2.14,0.63,6,3,5,9,8
O059,3,6,priority,7.0,2.4,1,1,2.28,4.95,2.03,2.28,3,4,2,7,5
O088,3,6,priority,7.0,2.4,3,2,7.28,8.66,3.85,"2.05,3.30,1.93",3,4,2,7,5
O077,3,6,standard,3.0,1.6,3,3,6.34,9.63,4.03,"2.24,1.91,2.19",3,4,2,7,5
O096,3,6,standard,3.0,1.6,2,2,5.32,7.4,3.12,"0.79,4.54",3,4,2,7,5
O120,3,6,standard,3.0,1.6,1,1,2.09,4.87,2.05,2.09,3,4,2,7,5
O033,3,7,priority,7.0,2.4,1,1,2.03,4.76,2.22,2.03,4,4,3,8,6
O054,3,7,priority,7.0,2.4,3,3,4.46,9.36,3.8,"1.83,1.56,1.07",4,4,3,8,6
O018,3,7,standard,3.0,1.6,2,2,3.77,7.06,3.09,"1.56,2.21",4,4,3,8,6
O028,3,7,standard,3.0,1.6,3,1,5.95,7.08,3.4,"1.05,1.70,3.20",4,4,3,8,6
O050,3,7,standard,3.0,1.6,1,1,0.94,4.46,1.99,0.94,4,4,3,8,6
O010,3,7,economy,1.0,1.0,2,1,2.66,5.78,2.79,"1.41,1.25",4,4,3,8,6
O047,3,7,economy,1.0,1.0,1,1,1.05,4.82,2.13,1.05,4,4,3,8,6
O055,3,8,standard,3.0,1.6,1,1,1.09,4.58,2.01,1.09,5,4,4,9,7
O100,3,8,standard,3.0,1.6,2,1,3.38,6.02,2.76,"1.63,1.75",5,4,4,9,7
O006,3,8,economy,1.0,1.0,5,3,7.89,11.86,5.19,"2.35,1.33,1.52,1.03,1.66",5,4,4,9,7
O051,3,9,economy,1.0,1.0,1,1,2.19,4.61,2.18,2.19,6,4,5,10,8
O079,3,9,economy,1.0,1.0,6,4,8.51,13.97,6.06,"1.34,1.21,1.80,1.55,1.51,1.10",6,4,5,10,8
O066,4,7,priority,7.0,2.4,1,1,2.41,4.61,2.04,2.41,3,5,2,8,5
O113,4,7,priority,7.0,2.4,2,2,4.19,7.18,2.94,"1.79,2.41",3,5,2,8,5
O082,4,7,standard,3.0,1.6,1,1,2.63,4.8,2.12,2.63,3,5,2,8,5
O118,4,7,standard,3.0,1.6,2,2,3.65,7.14,2.95,"1.08,2.57",3,5,2,8,5
O034,4,8,standard,3.0,1.6,1,1,2.96,4.8,2.19,2.96,4,5,3,9,6
O042,4,8,standard,3.0,1.6,2,1,3.03,5.76,2.78,"1.43,1.60",4,5,3,9,6
O045,4,8,standard,3.0,1.6,1,1,3.34,4.75,2.17,3.34,4,5,3,9,6
O089,4,8,standard,3.0,1.6,1,1,0.67,4.57,1.99,0.67,4,5,3,9,6
O027,4,9,standard,3.0,1.6,2,2,2.29,7.02,2.91,"1.26,1.03",5,5,4,10,7
O068,4,9,standard,3.0,1.6,2,1,4.89,6.07,2.91,"2.59,2.30",5,5,4,10,7
O110,4,9,standard,3.0,1.6,3,2,5.67,8.47,3.6,"2.92,1.81,0.94",5,5,4,10,7
O058,4,10,economy,1.0,1.0,1,1,1.7,4.63,2.02,1.70,6,5,5,10,7
O004,5,8,priority,7.0,2.4,1,1,1.16,4.56,1.96,1.16,3,6,2,9,5
O024,5,8,standard,3.0,1.6,3,1,8.27,7.49,3.61,"1.63,4.90,1.73",3,6,2,9,5
O084,5,8,standard,3.0,1.6,2,2,3.11,7.19,2.89,"2.19,0.92",3,6,2,9,5
O094,5,8,standard,3.0,1.6,4,2,8.9,9.97,4.36,"3.69,1.12,2.47,1.63",3,6,2,9,5
O092,5,9,standard,3.0,1.6,2,1,3.63,6.09,2.74,"0.71,2.92",4,6,3,10,6
O099,5,9,standard,3.0,1.6,1,1,2.06,4.57,2.16,2.06,4,6,3,10,6
O109,5,9,standard,3.0,1.6,2,2,2.62,6.98,2.93,"1.19,1.43",4,6,3,10,6
O039,5,9,economy,1.0,1.0,1,1,4.65,5.14,2.18,4.65,4,6,3,10,6
O012,5,10,standard,3.0,1.6,1,1,4.66,5.04,2.22,4.66,5,6,4,10,6
O070,5,10,standard,3.0,1.6,3,3,6.18,9.51,3.85,"1.81,1.66,2.72",5,6,4,10,6
O074,5,10,economy,1.0,1.0,4,3,7.71,10.78,4.58,"1.07,1.31,2.33,2.99",5,6,4,10,6
O063,6,9,standard,3.0,1.6,3,2,6.7,8.41,3.61,"2.23,2.20,2.27",3,7,2,10,5
O064,6,9,standard,3.0,1.6,1,1,1.18,4.64,2.14,1.18,3,7,2,10,5
O022,6,10,standard,3.0,1.6,2,2,3.4,7.04,2.87,"1.87,1.53",4,7,3,10,5
O072,6,10,standard,3.0,1.6,1,1,2.0,4.68,2.02,2.00,4,7,3,10,5
O056,6,11,economy,1.0,1.0,4,2,3.55,9.15,4.21,"1.40,0.62,0.70,0.83",5,7,4,10,5
O106,6,11,economy,1.0,1.0,5,4,7.9,12.95,5.29,"1.79,1.47,1.65,1.73,1.27",5,7,4,10,5
O105,7,9,priority,7.0,2.4,4,4,6.88,11.81,4.79,"1.99,2.73,0.55,1.61",2,8,1,10,4
O015,7,10,priority,7.0,2.4,2,1,3.13,6.02,2.62,"1.82,1.31",3,8,2,10,4
O076,7,10,priority,7.0,2.4,4,3,6.21,10.58,4.42,"0.77,2.14,0.73,2.57",3,8,2,10,4
O090,7,10,priority,7.0,2.4,1,1,1.69,4.61,2.16,1.69,3,8,2,10,4
O052,7,10,standard,3.0,1.6,3,1,7.78,7.37,3.5,"1.92,3.12,2.74",3,8,2,10,4
O075,7,11,priority,7.0,2.4,2,1,2.54,5.79,2.77,"1.29,1.25",4,8,3,10,4
O038,7,11,standard,3.0,1.6,1,1,2.33,4.92,2.12,2.33,4,8,3,10,4
O069,7,11,standard,3.0,1.6,1,1,1.6,4.81,2.02,1.60,4,8,3,10,4
O091,7,11,standard,3.0,1.6,1,1,2.17,4.91,2.08,2.17,4,8,3,10,4
O108,7,11,standard,3.0,1.6,2,2,4.31,7.31,2.96,"2.54,1.77",4,8,3,10,4
O023,8,10,priority,7.0,2.4,1,1,2.1,4.74,2.2,2.10,2,9,1,10,3
O061,8,10,priority,7.0,2.4,2,2,2.75,7.03,2.87,"1.00,1.75",2,9,1,10,3
O104,8,10,priority,7.0,2.4,1,1,1.01,4.68,2.06,1.01,2,9,1,10,3
O065,8,11,priority,7.0,2.4,1,1,1.77,4.52,2.18,1.77,3,9,2,10,3
O026,8,11,standard,3.0,1.6,4,2,9.54,9.77,4.38,"1.35,3.09,3.43,1.67",3,9,2,10,3
O037,8,11,standard,3.0,1.6,1,1,1.57,4.61,2.19,1.57,3,9,2,10,3
O053,8,11,standard,3.0,1.6,1,1,1.79,4.53,2.03,1.79,3,9,2,10,3
O057,8,11,standard,3.0,1.6,5,4,10.65,13.19,5.44,"1.58,1.79,1.35,1.36,4.58",3,9,2,10,3
O067,8,11,standard,3.0,1.6,2,1,3.14,6.06,2.64,"1.15,1.99",3,9,2,10,3
O098,8,11,standard,3.0,1.6,2,1,2.17,5.59,2.68,"1.22,0.94",3,9,2,10,3
O101,8,11,standard,3.0,1.6,4,3,8.74,11.08,4.67,"2.14,2.49,1.84,2.27",3,9,2,10,3
O112,8,11,standard,3.0,1.6,2,1,4.06,5.82,2.79,"1.08,2.98",3,9,2,10,3
O003,8,11,economy,1.0,1.0,3,3,6.68,9.75,3.99,"1.34,1.80,3.54",3,9,2,10,3
O014,8,11,economy,1.0,1.0,4,4,6.56,11.9,4.72,"2.41,1.46,1.23,1.47",3,9,2,10,3
O025,8,11,economy,1.0,1.0,1,1,1.48,4.73,1.95,1.48,3,9,2,10,3
O119,8,11,economy,1.0,1.0,1,1,4.79,5.14,2.36,4.79,3,9,2,10,3
