order_id,arrival_period,due_period,service_class,priority_weight,flow_time_weight,item_count,zones_touched,total_volume,pick_minutes,pack_minutes,item_volumes_dm3,slack_periods,minimum_completion_period,service_window_width,latest_release_period,feasible_release_count
O048,0,1,priority,7.0,2.4,2,1,2.85,5.66,2.74,"1.49,1.36",1,1,0,2,3
O068,0,1,priority,7.0,2.4,2,2,3.22,7.14,2.94,"1.60,1.61",1,1,0,2,3
O087,0,1,priority,7.0,2.4,1,1,1.3,4.53,2.08,1.30,1,1,0,2,3
O088,0,1,priority,7.0,2.4,2,1,4.54,6.14,2.81,"2.57,1.97",1,1,0,2,3
O109,0,1,priority,7.0,2.4,3,1,11.22,7.85,3.84,"6.46,2.39,2.37",1,1,0,2,3
O116,0,1,priority,7.0,2.4,4,2,9.26,9.75,4.44,"3.56,1.60,2.26,1.84",1,1,0,2,3
O040,0,2,priority,7.0,2.4,2,1,10.14,6.62,3.02,"3.76,6.38",2,1,1,3,4
O095,0,2,priority,7.0,2.4,2,2,3.64,7.19,3.01,"2.11,1.53",2,1,1,3,4
O035,0,2,standard,3.0,1.6,6,2,12.09,12.02,5.76,"1.46,1.73,1.57,2.87,1.73,2.73",2,1,1,3,4
O064,0,2,standard,3.0,1.6,2,2,3.3,7.04,3.05,"1.44,1.85",2,1,1,3,4
O075,0,2,standard,3.0,1.6,3,3,8.54,9.87,3.97,"4.80,1.66,2.08",2,1,1,3,4
O100,0,2,standard,3.0,1.6,5,2,8.75,10.78,4.91,"1.29,1.27,0.98,1.64,3.57",2,1,1,3,4
O033,0,3,standard,3.0,1.6,2,2,5.12,7.46,3.02,"2.41,2.71",3,1,2,4,5
O090,1,2,priority,7.0,2.4,1,1,1.75,4.59,1.97,1.75,1,2,0,3,3
O039,1,3,priority,7.0,2.4,1,1,0.71,4.59,1.9,0.71,2,2,1,4,4
O044,1,3,priority,7.0,2.4,1,1,1.32,4.74,2.17,1.32,2,2,1,4,4
O058,1,3,priority,7.0,2.4,1,1,0.64,4.75,2.13,0.64,2,2,1,4,4
O096,1,3,priority,7.0,2.4,2,1,3.14,5.76,2.79,"1.69,1.46",2,2,1,4,4
O099,1,3,priority,7.0,2.4,1,1,2.84,4.71,2.19,2.84,2,2,1,4,4
O108,1,3,priority,7.0,2.4,1,1,1.78,4.65,2.07,1.78,2,2,1,4,4
O026,1,3,standard,3.0,1.6,3,2,6.5,8.63,3.75,"2.00,2.65,1.85",2,2,1,4,4
O005,1,4,standard,3.0,1.6,1,1,1.23,4.6,2.11,1.23,3,2,2,5,5
O053,1,4,standard,3.0,1.6,1,1,1.54,4.54,1.99,1.54,3,2,2,5,5
O086,1,4,standard,3.0,1.6,1,1,1.49,4.52,2.09,1.49,3,2,2,5,5
O094,1,4,standard,3.0,1.6,3,1,7.76,7.34,3.47,"1.44,3.63,2.69",3,2,2,5,5
O111,1,4,economy,1.0,1.0,2,2,4.63,7.24,3.13,"3.94,0.69",3,2,2,5,5
O021,1,5,economy,1.0,1.0,1,1,1.42,4.59,1.97,1.42,4,2,3,6,6
O066,2,3,priority,7.0,2.4,1,1,1.34,4.81,1.97,1.34,1,3,0,4,3
