order_id,release_period,completion_period,arrival_period,due_period,service_class,priority_weight,flow_time_weight,item_count,pick_minutes,pack_minutes,total_volume,flow_time_periods,tardiness_periods
O028,0,1,0,3,standard,3.0,1.6,2,7.11,3.13,4.85,1.0,0.0
O052,0,1,0,3,standard,3.0,1.6,1,4.71,2.16,2.25,1.0,0.0
O018,0,1,0,4,standard,3.0,1.6,2,5.78,2.77,2.97,1.0,0.0
O069,0,1,0,4,standard,3.0,1.6,1,4.9,2.2,2.36,1.0,0.0
O075,0,1,0,6,economy,1.0,1.0,1,4.77,1.92,1.09,1.0,0.0
O085,0,1,0,6,economy,1.0,1.0,1,4.83,2.19,2.18,1.0,0.0
O029,1,2,1,4,standard,3.0,1.6,2,7.23,3.2,5.45,1.0,0.0
O059,1,2,1,4,priority,7.0,2.4,2,7.27,2.93,3.48,1.0,0.0
O060,1,2,1,4,standard,3.0,1.6,2,5.97,2.77,4.16,1.0,0.0
O086,1,2,1,4,standard,3.0,1.6,6,14.6,6.29,12.84,1.0,0.0
O050,1,2,1,5,priority,7.0,2.4,1,5.07,2.14,3.58,1.0,0.0
O084,1,2,1,5,economy,1.0,1.0,2,6.84,2.96,2.65,1.0,0.0
O099,1,2,1,5,priority,7.0,2.4,2,5.72,2.61,2.59,1.0,0.0
O005,1,2,1,6,economy,1.0,1.0,3,8.32,3.56,3.53,1.0,0.0
O037,1,2,1,6,standard,3.0,1.6,1,4.69,2.01,2.6,1.0,0.0
O089,1,2,1,6,economy,1.0,1.0,1,4.59,2.21,1.93,1.0,0.0
O091,1,2,1,6,standard,3.0,1.6,2,6.0,2.8,3.4,1.0,0.0
O098,1,2,1,6,economy,1.0,1.0,1,4.77,1.95,0.72,1.0,0.0
O109,1,2,1,6,standard,3.0,1.6,1,5.0,2.11,2.92,1.0,0.0
O009,1,2,1,7,economy,1.0,1.0,1,4.92,2.05,2.04,1.0,0.0
O074,2,3,2,4,priority,7.0,2.4,1,4.47,2.03,0.63,1.0,0.0
O115,2,3,2,4,priority,7.0,2.4,1,4.94,2.18,2.02,1.0,0.0
O036,2,3,2,5,standard,3.0,1.6,2,5.89,2.61,2.84,1.0,0.0
O103,2,3,2,5,standard,3.0,1.6,3,9.32,3.81,4.73,1.0,0.0
O026,2,3,2,6,standard,3.0,1.6,2,7.13,2.9,3.48,1.0,0.0
O039,2,3,2,6,standard,3.0,1.6,1,4.69,2.16,1.16,1.0,0.0
O051,2,3,2,6,standard,3.0,1.6,2,7.12,2.83,2.23,1.0,0.0
O071,2,3,2,6,priority,7.0,2.4,3,8.1,3.48,4.53,1.0,0.0
O016,2,3,2,7,economy,1.0,1.0,1,4.64,2.05,1.41,1.0,0.0
O112,2,3,2,7,standard,3.0,1.6,2,5.97,2.84,5.05,1.0,0.0
O048,3,4,3,5,priority,7.0,2.4,1,4.81,1.97,1.96,1.0,0.0
O113,3,4,3,5,priority,7.0,2.4,1,4.53,1.92,1.03,1.0,0.0
O095,3,4,3,6,standard,3.0,1.6,1,4.65,2.11,1.84,1.0,0.0
O108,3,4,3,6,standard,3.0,1.6,3,8.12,3.64,4.38,1.0,0.0
O022,3,4,3,7,standard,3.0,1.6,2,7.23,2.87,3.63,1.0,0.0
O034,3,4,3,8,standard,3.0,1.6,3,7.25,3.55,6.27,1.0,0.0
O068,3,4,3,8,economy,1.0,1.0,2,7.03,2.9,2.81,1.0,0.0
O076,3,4,3,8,economy,1.0,1.0,1,4.86,2.05,2.63,1.0,0.0
O077,3,4,3,8,standard,3.0,1.6,4,10.65,4.6,5.88,1.0,0.0
O011,3,4,3,9,economy,1.0,1.0,2,7.25,3.06,4.92,1.0,0.0
O033,3,4,3,9,economy,1.0,1.0,2,7.14,2.95,3.51,1.0,0.0
O044,3,4,3,9,economy,1.0,1.0,2,7.14,2.83,2.71,1.0,0.0
O097,3,4,3,9,economy,1.0,1.0,3,9.52,4.0,6.33,1.0,0.0
O062,4,5,4,6,priority,7.0,2.4,1,4.68,2.04,1.43,1.0,0.0
O082,4,5,4,6,priority,7.0,2.4,4,10.91,4.41,6.77,1.0,0.0
O094,4,5,4,6,priority,7.0,2.4,2,7.46,3.21,5.57,1.0,0.0
O015,4,5,4,7,standard,3.0,1.6,1,4.64,1.98,0.85,1.0,0.0
O038,4,5,4,7,standard,3.0,1.6,3,8.15,3.59,5.4,1.0,0.0
O010,4,5,4,8,standard,3.0,1.6,1,4.69,2.07,0.89,1.0,0.0
O027,4,5,4,8,standard,3.0,1.6,3,8.73,3.9,7.48,1.0,0.0
O047,4,5,4,8,priority,7.0,2.4,4,10.84,4.4,6.61,1.0,0.0
O057,4,5,4,8,standard,3.0,1.6,3,6.92,3.29,4.36,1.0,0.0
