period,label,regular_available,temp_workers,overtime_workers,total_available_workers,pick_workers,pack_workers,direct_workers,unused_capacity_workers,pick_load_minutes,pack_load_minutes,total_load_minutes,pick_utilisation,pack_utilisation
0,P1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,32.1,0.0,32.1,0.642,0.0
1,P2,1.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,90.99,14.37,105.36,0.9099,0.261273
2,P3,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,62.27,39.59,101.86,0.6227,0.719818
3,P4,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,90.18,26.89,117.07,0.9018,0.488909
4,P5,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,94.95,38.45,133.4,0.9495,0.699091
5,P6,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,92.81,41.07,133.88,0.9281,0.746727
6,P7,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,81.53,39.58,121.11,0.8153,0.719636
7,P8,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,98.55,35.33,133.88,0.9855,0.642364
8,P9,1.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,95.49,41.87,137.36,0.9549,0.761273
9,P10,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,42.02,42.02,0.0,0.764
10,P11,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,96.99,0.0,96.99,0.9699,0.0
11,P12,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,42.04,42.04,0.0,0.764364
