period,label,regular_available,temp_workers,overtime_workers,total_available_workers,pick_workers,pack_workers,direct_workers,unused_capacity_workers,pick_load_minutes,pack_load_minutes,total_load_minutes,pick_utilisation,pack_utilisation
0,P1,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,96.36,0.0,96.36,0.983265,0.0
1,P2,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,73.01,40.73,113.74,0.745,0.754259
2,P3,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,88.94,31.68,120.62,0.907551,0.586667
3,P4,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,87.88,38.86,126.74,0.896735,0.71963
4,P5,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,79.64,38.4,118.04,0.812653,0.711111
5,P6,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,95.87,34.82,130.69,0.978265,0.644815
6,P7,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,47.89,42.06,89.95,0.977347,0.778889
7,P8,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,78.91,20.91,99.82,0.805204,0.387222
8,P9,1.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,91.49,34.02,125.51,0.933571,0.63
9,P10,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,40.44,40.44,0.0,0.748889
10,P11,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,84.62,0.0,84.62,0.863469,0.0
11,P12,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,36.08,36.08,0.0,0.668148
