period,label,regular_available,temp_workers,overtime_workers,total_available_workers,pick_workers,pack_workers,direct_workers,unused_capacity_workers,pick_load_minutes,pack_load_minutes,total_load_minutes,pick_utilisation,pack_utilisation
0,P1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,46.59,0.0,46.59,0.9318,0.0
1,P2,1.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,77.86,20.11,97.97,0.7786,0.365636
2,P3,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,49.96,34.05,84.01,0.9992,0.619091
3,P4,1.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,99.87,21.79,121.66,0.9987,0.396182
4,P5,3.0,1.0,0.0,4.0,3.0,1.0,4.0,0.0,128.25,43.35,171.6,0.855,0.788182
5,P6,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,98.68,54.52,153.2,0.9868,0.991273
6,P7,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,99.21,43.64,142.85,0.9921,0.793455
7,P8,3.0,1.0,0.0,4.0,3.0,1.0,4.0,0.0,118.56,43.63,162.19,0.7904,0.793273
8,P9,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,98.15,50.78,148.93,0.9815,0.923273
9,P10,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,99.03,43.37,142.4,0.9903,0.788545
10,P11,1.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,99.15,43.45,142.6,0.9915,0.79
11,P12,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,42.86,42.86,0.0,0.779273
