period,label,regular_available,temp_workers,overtime_workers,total_available_workers,pick_workers,pack_workers,direct_workers,unused_capacity_workers,pick_load_minutes,pack_load_minutes,total_load_minutes,pick_utilisation,pack_utilisation
0,P1,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,84.65,0.0,84.65,0.863776,0.0
1,P2,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,73.48,37.66,111.14,0.749796,0.697407
2,P3,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,85.88,33.09,118.97,0.876327,0.612778
3,P4,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,87.42,38.34,125.76,0.892041,0.71
4,P5,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,94.32,38.44,132.76,0.962449,0.711852
5,P6,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,95.43,40.83,136.26,0.973776,0.756111
6,P7,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,48.14,40.2,88.34,0.982449,0.744444
7,P8,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,92.64,21.16,113.8,0.945306,0.391852
8,P9,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,75.42,40.18,115.6,0.769592,0.744074
9,P10,2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,71.62,33.06,104.68,0.730816,0.612222
10,P11,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,48.07,30.11,78.18,0.98102,0.557593
11,P12,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,20.58,20.58,0.0,0.381111
